Date,Open,High,Low,Close,Adj Close,Volume
2020-10-27,13075.2421875,14028.2138671875,12932.2509765625,13550.4892578125,13550.4892578125,242229959937
2020-11-03,13550.451171875,15903.4375,13325.44140625,15332.3154296875,15332.3154296875,241486624290
2020-11-10,15332.3505859375,16816.181640625,15124.9599609375,16716.111328125,16716.111328125,203784907986
2020-11-17,16685.69140625,18936.62109375,16564.544921875,18364.12109375,18364.12109375,285721335984
2020-11-24,18365.015625,19749.263671875,16351.03515625,19625.8359375,19625.8359375,306926731599
2020-12-01,19633.76953125,19845.974609375,18321.921875,19191.630859375,19191.630859375,232256649834
2020-12-08,19191.529296875,19381.53515625,17619.533203125,19246.64453125,19246.64453125,189256482197
2020-12-15,19246.919921875,24209.66015625,19079.841796875,22803.08203125,22803.08203125,305101985652
2020-12-22,22794.0390625,28288.83984375,22430.60546875,27084.80859375,27084.80859375,342336235937
2020-12-29,27081.810546875,34608.55859375,25987.298828125,31971.9140625,31971.9140625,411732786996
2021-01-05,31977.041015625,41946.73828125,30221.1875,35566.65625,35566.65625,580991897030
2021-01-12,35516.359375,39966.40625,32584.66796875,36630.07421875,36630.07421875,435092086442
2021-01-19,36642.234375,37755.890625,28953.373046875,32366.392578125,32366.392578125,433824732258
2021-01-26,32358.61328125,38406.26171875,29367.138671875,33537.17578125,33537.17578125,496540685831
2021-02-02,33533.19921875,46203.9296875,33489.21875,46196.46484375,46196.46484375,489985441869
2021-02-09,46184.9921875,49487.640625,43881.15234375,47945.05859375,47945.05859375,555623924337
2021-02-16,47944.45703125,58330.5703125,47201.3046875,54207.3203125,54207.3203125,485515814336
2021-02-23,54204.9296875,54204.9296875,43241.6171875,49631.2421875,49631.2421875,728518655585
2021-03-02,49612.10546875,52535.13671875,46542.515625,52246.5234375,52246.5234375,327819907345
2021-03-09,52272.96875,61683.86328125,51981.83203125,55907.19921875,55907.19921875,391660518564
2021-03-16,55840.78515625,60116.25,53555.02734375,54529.14453125,54529.14453125,383644627311
2021-03-23,54511.66015625,58342.09765625,50856.5703125,57750.19921875,57750.19921875,404232968698
2021-03-30,57750.1328125,60267.1875,57168.67578125,59057.87890625,59057.87890625,411429246638
2021-04-06,59171.93359375,61276.6640625,55604.0234375,59893.453125,59893.453125,397759807383
2021-04-13,59890.01953125,64863.09765625,52829.53515625,55724.265625,55724.265625,521635120211
2021-04-20,55681.79296875,57062.1484375,47159.484375,54021.75390625,54021.75390625,437658883365
2021-04-27,54030.3046875,58973.30859375,52418.02734375,57200.29296875,57200.29296875,328660629203
2021-05-04,57214.1796875,59519.35546875,52969.0546875,55859.796875,55859.796875,478829549475
2021-05-11,55847.2421875,57939.36328125,42207.2890625,43537.51171875,43537.51171875,487095008090
2021-05-18,43488.05859375,45812.45703125,30681.49609375,38705.98046875,38705.98046875,556085155750
2021-05-25,38795.78125,40782.078125,33520.73828125,37332.85546875,37332.85546875,321856753531
2021-06-01,37293.79296875,39478.953125,33480.640625,33560.70703125,33560.70703125,243558981748
2021-06-08,33589.51953125,40978.36328125,31114.443359375,40218.4765625,40218.4765625,307892995350
2021-06-15,40427.16796875,41295.26953125,31295.935546875,31676.693359375,31676.693359375,279609693974
2021-06-22,31622.376953125,35487.24609375,28893.62109375,34434.3359375,34434.3359375,286625284492
2021-06-29,34475.55859375,36542.109375,32770.6796875,33746.00390625,33746.00390625,224558249000
2021-07-06,33723.5078125,35038.53515625,32133.18359375,33155.84765625,33155.84765625,176045807696
2021-07-13,33125.46875,33327.1015625,30563.734375,30817.83203125,30817.83203125,143615184188
2021-07-20,30838.28515625,40499.67578125,29360.955078125,37337.53515625,37337.53515625,187002086878
